model,candidate_id,parameters,cv_macro_mae_mps,cv_macro_mae_std_mps,fold_best_epochs
cnn,1,"{'channels': (32, 64, 64), 'dropout': 0.2, 'learning_rate': 0.001}",4.654585883730934,0.19493328408850202,"[1, 3, 1]"
gru,1,"{'hidden_size': 64, 'layers': 2, 'dropout': 0.2, 'learning_rate': 0.001}",4.93187464702697,0.2864686295850477,"[6, 13, 1]"
gru,2,"{'hidden_size': 64, 'layers': 2, 'dropout': 0.2, 'learning_rate': 0.0005}",4.959009601956322,0.3340529162766248,"[12, 16, 1]"
cnn,0,"{'channels': (16, 32, 32), 'dropout': 0.1, 'learning_rate': 0.001}",4.991930941740672,0.34485119060579594,"[7, 8, 1]"
cnn,2,"{'channels': (32, 64, 64), 'dropout': 0.3, 'learning_rate': 0.0005}",5.069123022613071,0.33427712113264463,"[3, 4, 1]"
random_forest,2,"{'n_estimators': 100, 'max_depth': 16, 'min_samples_leaf': 3}",5.184043889070261,0.4982711829653695,[]
random_forest,3,"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5}",5.19365689081696,0.48545703152520525,[]
random_forest,1,"{'n_estimators': 100, 'max_depth': 16, 'min_samples_leaf': 1}",5.24239947361792,0.5254696067916008,[]
random_forest,0,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_leaf': 1}",5.253557836374912,0.5334887173688821,[]
gru,0,"{'hidden_size': 32, 'layers': 1, 'dropout': 0.1, 'learning_rate': 0.001}",5.484606532823473,0.8578464075277823,"[1, 1, 1]"
