sequence_id,source_rows,windows,quality_rejections,calibration_confidence,calibration_phase
M,105950,484,243,0.4185437759419799,tracking
S1,51746,30,76,0.5689296390671248,tracking
S2,93865,208,213,0.5540657364956384,tracking
S3a,24621,23,44,0.5354090540983979,tracking
S3b,6770,15,13,0.5136219386414432,tracking
S3c,37183,67,82,0.5594083252988765,tracking
S4,91468,83,138,0.6402544156499634,tracking
Vfa01,11486,66,39,0.578886545347606,tracking
Vfa02,67523,452,334,0.5264781665582234,tracking
Vta10,1502,6,6,0.5631496505244563,tracking
Vta13,404,2,0,0.5954827010157088,tracking
Vta14,2885,22,17,0.5074938946228107,tracking
Vta15,833,4,4,0.7118832515910747,tracking
Vta16,11335,33,32,0.3957492019378675,tracking
Vta17,4507,4,3,0.5955006813767127,tracking
Vta1a,25676,3797,97,0.9082842593757043,tracking
Vta1b,953,138,3,0.960479135484276,tracking
Vta2,10991,1771,32,0.0,degraded
Vta21,2079,3,3,0.4386777327736822,tracking
Vta22,1564,7,6,0.6154429852734566,tracking
Vta23,1110,9,3,0.5743729967972182,tracking
Vta26,1935,4,0,0.0,recalibrating
Vta27,2540,5,10,0.5785452057320403,tracking
Vta28,4210,6,5,0.5913031408067848,tracking
Vta29,23701,41,53,0.5864313340841769,tracking
Vta30,17136,29,28,0.0,tracking
Vta8,3676,6,6,0.0,recalibrating
Y1,68918,231,171,0.5748157771486586,tracking
