sequence_id,reason
Vta11,This sequence produced no complete quality-gated windows.
Vta12,This sequence produced no complete quality-gated windows.
Vta19,This sequence produced no complete quality-gated windows.
Vta20,This sequence produced no complete quality-gated windows.
Vta24,This sequence produced no complete quality-gated windows.
Vta25,This sequence produced no complete quality-gated windows.
Vta3,This sequence produced no complete quality-gated windows.
Vta4,This sequence produced no complete quality-gated windows.
Vta5,This sequence produced no complete quality-gated windows.
Vta6,This sequence produced no complete quality-gated windows.
Vta7,This sequence produced no complete quality-gated windows.
Vta9,This sequence produced no complete quality-gated windows.
